Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,MSFT,TSLA,AAPL,AMZN,GOOG,MSFT,TSLA,AAPL,AMZN,GOOG,MSFT,TSLA,AAPL,AMZN,GOOG,MSFT,TSLA,AAPL,AMZN,GOOG,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,59.657630920410156,91.5,54.43175506591797,133.6712646484375,24.08133316040039,60.46299850331859,92.08300018310547,54.91314518911313,139.00288808460238,26.99066734313965,57.34794363950967,87.25,51.47790755844906,128.54911330868097,23.367332458496094,57.98885363786599,87.5,52.43225192946988,131.3862914772269,25.933332443237305,300233600,192904000,84668000,81593200,356793000
2020-03-19,59.20054244995117,94.04650115966797,55.349369049072266,135.87060546875,28.50933265686035,61.149869314864894,97.25,57.46748167922218,142.9540300053961,30.133333206176758,58.67572396250281,91.63249969482422,52.61081069570766,132.3384014550753,23.8973331451416,59.83177642616681,93.0,54.24564765415218,135.9277276341853,24.979999542236328,271857200,207998000,73022000,85922700,452932500
2020-03-20,55.44215774536133,92.30449676513672,53.21686553955078,130.76747131347656,28.50200080871582,60.905593927619734,97.8499984741211,56.77368866646518,140.05020002588367,31.799999237060547,55.142259915533515,91.0364990234375,52.87790844707976,129.34887472137007,28.38599967956543,59.780979833542105,96.31549835205078,56.36326517332851,139.00291200117317,29.213333129882812,401693200,196358000,72036000,84866200,424282500
2020-03-23,54.26432800292969,95.1415023803711,52.43770980834961,129.46307373046875,28.952667236328125,55.26317786918558,95.97000122070312,53.167238830694636,133.8331062972833,29.46666717529297,51.42015002405914,90.5999984741211,50.299544890365645,126.16890441932166,27.366666793823242,55.16160047962253,91.38749694824219,52.67096099631564,130.44370920698097,28.906667709350586,336752800,156170000,80882000,78975200,246817500
2020-03-24,59.70842742919922,97.00499725341797,56.30073547363281,141.23077392578125,33.66666793823242,59.904326973466,97.75,56.32753490108742,142.43039748481058,34.24599838256836,56.66592859765041,95.01699829101562,54.12505208793588,134.49961256876347,31.600000381469727,57.1641431646422,97.57499694824219,54.77765865985945,136.86075403148243,31.81999969482422,287531200,142942000,66890000,82516700,343428000
2020-03-25,59.3795051574707,94.29199981689453,54.71413040161133,139.87884521484375,35.95000076293945,62.45828014038061,97.51300048828125,57.01735505197963,146.9337238441079,37.133331298828125,59.08444541685393,94.28900146484375,53.89626330031822,137.51770348581238,34.07400131225586,60.644390107262105,96.03450012207031,55.90420584580776,141.77347953164312,36.349998474121094,303602000,129582000,81630000,75638200,318340500
2020-03-26,62.50422668457031,97.77449798583984,57.65507507324219,148.62841796875,35.21066665649414,62.56226879829015,97.82450103759766,58.06301472918006,149.15206208598235,37.33333206176758,59.58265430542807,94.4645004272461,54.26946482358245,141.25935277740615,34.150001525878906,59.62135150815354,95.0999984741211,55.17616609299508,141.28791386311786,36.49266815185547,252087200,124426000,71434000,64568100,260710500
2020-03-27,59.91640853881836,95.00499725341797,55.122074127197266,142.52557373046875,34.29066848754883,61.88266255080022,96.989501953125,57.105201415370466,147.4668435414475,35.0533332824707,59.749530088606896,94.99600219726562,54.883862890441534,142.0495364003553,32.935333251953125,61.12808558327173,96.54299926757812,55.86450684722796,144.47732968943524,33.66666793823242,204216800,107758000,64170000,57042300,215661000
2020-03-30,61.62630081176758,98.19750213623047,56.91413116455078,152.5509490966797,33.47533416748047,61.79801733681127,98.68150329589844,57.15284218347833,152.90322666976797,34.44333267211914,60.317880748707644,95.61699676513672,54.415870376162985,142.8207429707394,32.7486686706543,60.64196519805995,96.1415023803711,55.83323740240344,145.134292409769,34.017333984375,167976400,122522000,51482000,63420300,179971500
2020-03-31,61.50055694580078,97.48600006103516,57.70768356323242,150.15171813964844,34.93333435058594,63.483743042720086,99.6510009765625,58.32803087321486,156.8828791989714,36.19733428955078,60.94671736808354,97.20050048828125,56.48336847490198,149.05682343931457,33.133331298828125,61.81738623520394,98.21749877929688,56.937959165399484,151.76071229538607,33.41666793823242,197002000,102472000,49728000,77927200,266572500
2020-04-01,58.26456069946289,95.38500213623047,54.869468688964844,144.820068359375,32.104000091552734,60.15342405049904,97.24800109863281,56.06401208292626,150.18976853607813,34.26333236694336,57.83406447537594,94.6500015258789,54.464012814336535,143.5918985143203,31.67333221435547,59.61651236600977,96.64849853515625,55.68237203172245,145.66741417445297,33.599998474121094,176218400,82438000,46884000,57969900,200298000
2020-04-02,59.236812591552734,95.94149780273438,55.62480545043945,147.81912231445312,30.29800033569336,59.29002033037774,96.37650299072266,55.9235634087798,148.02857992428844,32.95066833496094,57.294741195546685,94.5,54.41190228365983,143.15396179177512,29.760000228881836,58.12671272222617,95.08200073242188,54.50420847802494,144.58207393473876,32.068668365478516,165934000,86720000,39298000,49630700,297876000
2020-04-03,58.385501861572266,95.32949829101562,54.485355377197266,146.4576873779297,32.000667572021484,59.423045489400614,96.31649780273438,55.758801534645066,149.83755626537894,34.36600112915039,57.79538229351841,94.4574966430664,53.58858166669556,144.89628508286296,31.22599983215332,58.721676049554524,95.55750274658203,55.53423610308015,147.66682659973765,33.96666717529297,129880000,72198000,46268000,41243300,338431500
2020-04-06,63.47889709472656,99.87950134277344,58.904205322265625,157.349365234375,34.41600036621094,63.63367854249636,99.9260025024414,59.28832536945817,158.52041286531838,34.733333587646484,60.31305518274137,96.5009994506836,56.12604240903636,150.02790960706554,33.19733428955078,60.68066757934002,96.80000305175781,56.476415172043325,152.63659910874486,34.08000183105469,201820400,115464000,53294000,67111700,223527000
2020-04-07,62.743656158447266,100.58000183105469,58.88386154174805,155.65467834472656,36.36333465576172,65.71118461799709,101.78600311279297,60.79403443287424,161.85267863184416,37.66666793823242,62.63966158048192,99.88099670410156,58.67145393292798,155.43569073147975,35.48933410644531,65.49351193571505,100.85549926757812,60.59552254277233,161.4623245673661,36.33333206176758,202887200,102280000,47746000,62769000,268797000
2020-04-08,64.34955596923828,102.1500015258789,60.063514709472656,157.2161102294922,36.589332580566406,64.66396058058191,102.19999694824219,60.499741842924266,158.68229897209625,37.14733123779297,63.17899331030437,100.55750274658203,58.9657491205691,155.66422371733032,35.55533218383789,63.54418476916798,101.05000305175781,59.87592250269854,157.73022420929914,36.9466667175293,168895200,79546000,39502000,48318200,189840000
2020-04-09,64.81391906738281,102.13800048828125,60.12157440185547,157.22561645507812,38.20000076293945,65.31697539124775,102.6500015258789,60.822319950809394,159.34873898293552,38.345333099365234,64.0182312530311,100.88300323486328,59.39130329128434,155.502363560662,37.14066696166992,64.98563931197687,102.21499633789062,60.74837352629233,158.38714875924393,37.4726676940918,161834800,92930000,43508000,51385100,204750000
